					BDI			DI			Rand			Time		
medoidy	klaster	s¹siedzi	populacja	kroki	min	mean	max	min	mean	max	min	mean	max	min	mean	max
16	16	29	4	502	4,15507	20,861263	89,043846	0,003691	0,042382	0,062827	0,592854	0,639238	0,691579	1	0,4	1
29	1	1	4	502	7,241547	16,15971	66,618187	0,000912	0,0112	0,030606	0,668034	0,677882	0,707171	1	1,2	2
29	1	15	4	502	7,159097	10,452089	13,290974	0,004074	0,01288	0,026959	0,671064	0,677295	0,686782	1	1,2	2
29	1	29	4	502	10,54329	16,131895	33,529125	0,001028	0,005174	0,012557	0,672137	0,680609	0,697892	1	1,2	2
29	8	1	4	502	0,837356	9,509044	31,801691	0,005006	0,078562	0,553767	0,590961	0,641848	0,686719	1	1,2	2
29	8	15	4	502	0,616832	10,666887	44,744682	0,00274	0,079241	0,281184	0,599987	0,645578	0,674536	1	1	1
29	8	29	4	502	1,541088	7,507066	18,849346	0,002797	0,034478	0,11694	0,625679	0,655694	0,680785	1	1,2	2
29	15	1	4	502	0,376337	7,085616	22,308783	0,003984	0,193684	2,218198	0,546964	0,640538	0,679838	1	1,2	2
29	15	15	4	502	0,769163	6,128666	15,57831	0,009618	0,09644	0,633824	0,530867	0,614017	0,670307	1	1	1
29	15	29	4	502	0,594805	3,979768	16,695185	0,01001	0,211615	0,550202	0,575369	0,61692	0,686908	1	1,2	2
29	22	1	4	502	0,476386	6,116321	14,577837	0,008668	0,213679	1,320599	0,505934	0,58016	0,688549	1	0,8	1
29	22	15	4	502	0,839885	5,119062	13,040379	0,006291	0,096538	0,424138	0,525628	0,607354	0,680848	1	1	1
29	22	29	4	502	1,335672	5,398171	15,957007	0,012107	0,063311	0,14691	0,487565	0,597567	0,660018	1	1	1
29	29	1	4	502	1,855862	10,725664	23,957752	0,007102	0,05316	0,152375	0,508774	0,615923	0,671127	1	1	1
29	29	15	4	502	0,499645	3,590359	8,432914	0,018079	0,125821	0,411476	0,395657	0,562577	0,664184	1	1	1
29	29	29	4	502	0,263105	3,980441	12,039016	0,019137	0,28335	1,273669	0,476139	0,598428	0,676682	1	1	1
42	1	1	4	502	5,612335	8,572696	11,963572	0,001928	0,010299	0,034303	0,669739	0,674713	0,679586	3	3,4	4
42	1	15	4	502	4,978162	9,273297	14,766766	0,001722	0,010197	0,024975	0,669676	0,676105	0,693347	3	3,4	4
42	1	29	4	502	5,17741	8,349916	16,05052	0,001776	0,007859	0,019609	0,668287	0,674019	0,682048	3	3,6	4
42	11	1	4	502	0,790193	5,176501	20,638451	0,0033	0,066032	0,249631	0,612928	0,648087	0,676872	3	3,2	4
42	11	15	4	502	0,916186	3,255966	20,216692	0,003972	0,090811	0,256079	0,624416	0,649504	0,663048	3	3,2	4
42	11	29	4	502	2,618618	6,582928	14,042418	0,00574	0,032047	0,063048	0,638303	0,65872	0,682237	3	3,2	4
42	21	1	4	502	1,033106	4,40076	8,239304	0,011019	0,075356	0,2861	0,557505	0,624227	0,674473	3	3	3
42	21	15	4	502	0,160883	2,067281	4,219249	0,027396	0,249039	1,531101	0,592791	0,621976	0,656861	3	3	3
