					BDI			DI			Rand			Rand		
medoidy	klaster	s¹siedzi	populacja	kroki	min	mean	max	min	mean	max	min	mean	max	min	mean	max
25	19	1	4	1002	0,940635	2,612985	5,459433	0,043345	0,318629	1,127619	0,504356	0,634187	0,695111	1	1,2	2
25	19	15	4	1002	1,002482	4,133376	12,399931	0,025275	0,175321	0,549881	0,5672	0,628458	0,699733	1	1,2	2
25	19	29	4	1002	1,416332	6,089159	14,330914	0,014898	0,11178	0,223874	0,549778	0,65156	0,740978	1	1,2	2
25	25	1	4	1002	0,695062	5,331542	12,950448	0,022744	0,280073	1,868888	0,372889	0,607231	0,728533	1	1,2	2
25	25	15	4	1002	1,463838	4,427728	10,483352	0,026189	0,172904	0,72893	0,333333	0,568915	0,720711	1	1,2	2
25	25	29	4	1002	1,223766	4,718727	7,494306	0,025712	0,111873	0,255899	0,498222	0,622911	0,725778	1	1,2	2
36	1	1	4	1002	6,477652	8,384393	12,186455	0,008843	0,026618	0,056959	0,700267	0,705618	0,712622	4	4,2	5
36	1	15	4	1002	5,860902	7,746657	11,207955	0,009591	0,025007	0,040733	0,698222	0,702902	0,7096	4	4,2	5
36	1	29	4	1002	6,208601	8,503051	11,639172	0,007253	0,024324	0,043533	0,696889	0,706089	0,718933	4	4,2	5
36	9	1	4	1002	0,494795	3,113508	8,605984	0,025487	0,149997	0,449456	0,643556	0,674551	0,704267	4	4	4
36	9	15	4	1002	0,566116	 1.#INF00	 1.#INF00	0,009517	0,162408	0,549324	0,601867	0,678107	0,720089	3	3,8	4
36	9	29	4	1002	0,979195	2,600586	4,785375	0,045206	0,133698	0,48405	0,583733	0,656129	0,713422	3	3,8	4
36	17	1	4	1002	0,473348	2,586209	7,070117	0,023434	0,16871	0,428393	0,601689	0,661596	0,7056	3	3,8	5
36	17	15	4	1002	1,258328	4,259513	7,38559	0,020529	0,110948	0,2308	0,586667	0,643049	0,706933	3	3,8	4
36	17	29	4	1002	0,410533	2,44192	8,812054	0,015538	0,374094	0,966032	0,575556	0,632889	0,709956	3	3,6	4
36	25	1	4	1002	0,46162	2,355109	5,950402	0,070909	0,35502	1,330302	0,546933	0,624067	0,698933	3	3,4	4
36	25	15	4	1002	0,898449	3,217544	7,684253	0,022014	0,163642	0,583314	0,495022	0,602871	0,691911	3	3,4	4
36	25	29	4	1002	0,318697	2,58791	3,59984	0,03155	0,359076	2,328449	0,572889	0,642324	0,704267	3	3,6	4
36	33	1	4	1002	0,458467	1,586885	3,090808	0,104723	0,47401	1,750181	0,440622	0,589844	0,676622	2	3	4
36	33	15	4	1002	0,742063	1,162238	1,363015	0,144921	0,360605	0,92909	0,403467	0,572049	0,685244	2	2,8	4
36	33	29	4	1002	0,752156	2,284732	5,304606	0,04013	0,168145	0,284768	0,416889	0,627298	0,678578	3	3,4	4
3	1	1	16	2	31,689932	120,904312	416,061432	0,002285	0,012965	0,048293	0,463467	0,756958	0,899467	0	0	0
3	1	15	16	2	31,689932	115,856567	361,525299	0,002285	0,013027	0,048293	0,463467	0,758867	0,899467	0	0	0
3	1	29	16	2	31,689932	162,170975	442,536865	0,002011	0,011566	0,048293	0,660356	0,78535	0,899467	0	0	0
3	2	1	16	2	32,040722	106,088737	422,684601	0,001119	0,018812	0,044428	0,406133	0,712994	0,880533	0	0	0
3	2	15	16	2	32,040722	115,892426	422,684601	0,001119	0,016519	0,037234	0,333333	0,654128	0,880533	0	0	0
3	2	29	16	2	32,040722	98,527962	422,684601	0,001335	0,023591	0,048581	0,406133	0,724122	0,912978	0	0	0
3	3	1	16	2	32,162304	98,590691	319,269501	0,002709	0,018436	0,049584	0,333333	0,589656	0,874578	0	0	0
