					BDI			DI			Rand			Time		
medoidy	klastry	s¹siedzi	populacja	kroki	min	mean	max	min	mean	max	min	mean	max	min	mean	max
3	2	29	4	1002	24,776096	103,692467	213,931229	0,010606	0,014176	0,028452	0,461892	0,55502	0,637945	0	0,2	1
3	3	1	4	1002	41,639992	88,239967	213,931229	0,010433	0,010433	0,010433	0,517804	0,604665	0,637945	0	0,2	1
3	3	15	4	1002	161,17186	161,17186	161,17186	0,039249	0,039249	0,039249	0,511478	0,625299	0,637945	0	0,2	1
3	3	29	4	1002	22,177485	58,943401	103,724754	0,011927	0,038919	0,064991	0,505102	0,58595	0,637945	0	0,2	1
18	1	1	4	1002	14,128915	25,269903	36,515423	0,005277	0,011842	0,026655	0,38593	0,390345	0,397612	1	1,6	2
18	1	15	4	1002	15,1818	24,208553	40,252254	0,002018	0,010067	0,029126	0,384655	0,389578	0,397715	1	2,2	5
18	1	29	4	1002	16,482378	28,073507	74,372025	0,001198	0,007965	0,022463	0,384961	0,390654	0,404091	1	3,6	11
18	5	1	4	1002	11,818172	37,4305	121,673653	0,004787	0,025548	0,075231	0,388328	0,408601	0,465769	1	3	8
18	5	15	4	1002	17,482723	32,565559	54,254406	0,003627	0,016713	0,045315	0,387818	0,402423	0,421488	1	1,8	3
18	5	29	4	1002	10,535192	24,699852	84,388191	0,004966	0,034615	0,113089	0,387154	0,411114	0,431436	1	1,4	2
18	9	1	4	1002	6,754868	21,926344	30,450214	0,012292	0,054716	0,194324	0,387307	0,446225	0,507346	1	1,2	2
18	9	15	4	1002	8,573701	27,512741	163,750717	0,005189	0,045753	0,307745	0,391032	0,431892	0,48393	1	1,4	2
18	9	29	4	1002	15,980135	28,340565	63,414734	0,007861	0,068392	0,311876	0,396694	0,425806	0,4824	1	1,6	2
18	13	1	4	1002	8,031521	22,522997	57,880535	0,005713	0,041575	0,099016	0,394909	0,449793	0,570656	1	1,6	2
18	13	15	4	1002	9,434645	29,133667	75,319138	0,012213	0,023352	0,056739	0,382869	0,453882	0,500255	1	1,2	2
18	13	29	4	1002	6,961655	23,970747	54,750965	0,008342	0,044782	0,143558	0,388277	0,465896	0,515049	1	1,2	2
18	17	1	4	1002	4,8139	17,387501	41,114059	0,002214	0,087344	0,19216	0,383583	0,471949	0,598	1	1,4	2
18	17	15	4	1002	4,49173	23,486332	59,854034	0,007053	0,074807	0,246935	0,402255	0,461884	0,542904	1	1,2	2
18	17	29	4	1002	7,069286	16,826206	38,422703	0,024	0,241458	0,870493	0,407254	0,477724	0,562494	1	1,8	3
33	1	1	4	1002	10,273553	14,033701	17,810753	0,0062	0,011675	0,020742	0,376747	0,381033	0,387971	6	7,2	8
33	1	15	4	1002	9,404617	16,181429	46,151917	0,003075	0,010135	0,024531	0,375217	0,379696	0,39047	6	7	8
33	1	29	4	1002	9,299415	13,437508	26,753143	0,002162	0,011598	0,017949	0,375166	0,38016	0,384655	7	8,2	12
33	9	1	4	1002	7,208936	12,606539	27,467201	0,014361	0,063262	0,178647	0,38139	0,410132	0,439394	5	6	7
33	9	15	4	1002	8,70403	16,469515	33,368618	0,004893	0,055965	0,264034	0,379502	0,400576	0,437506	5	6,2	7
33	9	29	4	1002	8,002583	17,649706	68,286804	0,004274	0,043981	0,116337	0,378278	0,393807	0,416539	6	6,2	7
33	17	1	4	1002	6,328123	14,134295	49,998199	0,005676	0,077321	0,239425	0,380828	0,419835	0,46934	5	5,8	6
33	17	15	4	1002	4,732048	17,017492	35,06966	0,008218	0,047731	0,119046	0,387409	0,414777	0,467503	5	5,8	7
33	17	29	4	1002	4,575789	10,495024	22,323021	0,014472	0,162385	0,869043	0,378431	0,425472	0,50102	5	5,4	7
33	25	1	4	1002	5,520467	11,051702	29,318802	0,00861	0,159184	0,95177	0,383532	0,434027	0,503265	5	5,4	6
33	25	15	4	1002	5,962978	11,724868	33,364582	0,034707	0,096456	0,169738	0,404295	0,455153	0,545914	4	4,8	6
33	25	29	4	1002	7,940213	13,16275	23,116327	0,010377	0,042969	0,087269	0,378227	0,423436	0,491072	5	5,6	6
33	33	1	4	1002	3,427787	6,833076	14,949088	0,060353	0,119402	0,191106	0,400775	0,456946	0,585757	3	4,8	6
33	33	15	4	1002	4,308235	13,214358	67,762276	0,024639	0,179918	0,682088	0,383328	0,453995	0,558974	4	5	6
33	33	29	4	1002	4,0879	12,647134	31,32192	0,015707	0,100241	0,224976	0,387103	0,440935	0,51959	4	5,2	6
